drug_name,drug_generic_name,Date of Approval,Company,Treatment for
Lutathera,(lutetium Lu 177 dotatate)  Injection,"January 26, 2018",Advanced Accelerator Applications S.A.,Gastroenteropancreatic Neuroendocrine Tumors
Balcoltra,(ethinyl estradiol/levonorgestrel and ferrous bisglycinate)  Tablets,"January 9, 2018","Avion Pharmaceuticals, LLC",Prevention of Pregnancy
Elepsia XR,(levetiracetam)  Extended-Release Tablets,"December 20, 2018",Sun Pharma Global,Epilepsy
Elepsia XR,(levetiracetam)  Extended-Release Tablets,"December 20, 2018",Sun Pharma Global,Epilepsy
Trelegy Ellipta,"(fluticasone furoate, umeclidinium and vilanterol)  Inhalation Powder","September 18, 2017",GlaxoSmithKline,"COPD, Asthma, Maintenance"
Lumify,(brimonidine tartrate)  Ophthalmic Solution,"December 22, 2017",Bausch + Lomb,Ocular Redness
Segluromet,(ertugliflozin and metformin hydrochloride)  Tablets,"December 19, 2017","Merck & Co., Inc.","Diabetes, Type 2"
Steglujan,(ertugliflozin and sitagliptin)  Tablets,"December 19, 2017","Merck & Co., Inc.","Diabetes, Type 2"
Steglatro,(ertugliflozin)  Tablets,"December 19, 2017",Merck,"Diabetes, Type 2"
Giapreza ,Giapreza (angiotensin II)  Injection  - formerly LJPC-501,"December 21, 2017",La Jolla Pharmaceutical Company,"Hypotension, Shock"
Macrilen,(macimorelin)   for Oral Solution,"December 20, 2017",Aeterna Zentaris Inc.,Diagnosis of Adult Growth Hormone Deficiency
Luxturna ,Luxturna (voretigene neparvovec)  Intraocular Suspension for Subretinal Injection,"December 19, 2017",Spark Therapeutics,Biallelic RPE65-Mediated Inherited Retinal Disease
Rhopressa,(netarsudil)  Ophthalmic Solution,"December 18, 2017","Aerie Pharmaceuticals, Inc.",Glaucoma
Prexxartan,(valsartan)  Oral Solution,"December 19, 2017",Medicure Inc.,"High Blood Pressure, Heart Failure, Left Ventricular Dysfunction"
Eskata,(hydrogen peroxide)  Topical Solution,"December 14, 2017","Aclaris Therapeutics, Inc.",Seborrheic Keratoses
Xepi,(ozenoxacin)  Cream,"December 11, 2017","Medimetriks Pharmaceuticals, Inc.",Impetigo
Ixifi,(infliximab-qbtx)  Injection,"December 13, 2017",Pfizer Inc.,"Crohn's Disease, Maintenance, Ulcerative Colitis, Rheumatoid Arthritis, Ankylosing Spondylitis, Psoriatic Arthritis, Plaque Psoriasis"
Sinuva,(mometasone furoate)  Sinus Implant,"December 8, 2017","Intersect ENT, Inc.",Nasal Polyps
Admelog,(insulin lispro)  Injection,"December 11, 2017",Sanofi,"Diabetes, Type 1, Diabetes, Type 2"
Ozempic,(semaglutide)  Injection,"December 5, 2017",Novo Nordisk,"Diabetes, Type 2, Cardiovascular Risk Reduction"
Lonhala Magnair,(glycopyrrolate)  Inhalation Solution,"December 5, 2017",Sunovion Pharmaceuticals Inc.,COPD
Ogivri,(trastuzumab-dkst)  for Injection,"December 1, 2017",Mylan GmbH,"Breast Cancer, Gastric Cancer"
Impoyz,(clobetasol propionate)  Cream,"November 28, 2017",Dr. Reddy’s Laboratories Ltd.,Plaque Psoriasis
Sublocade,(buprenorphine)  Sustained-Release Injection  - formerly RBP-6000,"November 30, 2017",Indivior PLC,Opioid Use Disorder
Clenpiq,"(sodium picosulfate, magnesium oxide, and anhydrous citric acid)  Oral Solution","November 28, 2017",Ferring Pharmaceuticals Inc.,Bowel Preparation
Juluca,(dolutegravir and rilpivirine)  Tablets,"November 21, 2017",ViiV Healthcare,HIV Infection
Hemlibra,(emicizumab-kxwh)  Injection,"November 16, 2017","Genentech, Inc.","Hemophilia A with Inhibitors, Hemophilia A"
Mepsevii,(vestronidase alfa)  Injection,"November 15, 2017","Ultragenyx Pharmaceutical, Inc.",Mucopolysaccharidosis Type VII
Fasenra,(benralizumab)  Injection,"November 14, 2017",AstraZeneca,Asthma
Abilify MyCite,(aripiprazole)  Tablets with Sensor,"November 13, 2017","Otsuka Pharmaceutical Co., Ltd. and Proteus Digital Health","Schizophrenia, Bipolar Disorder, Depression"
Cinvanti,(aprepitant)  Injection,"November 9, 2017","Heron Therapeutics, Inc.","Nausea/Vomiting, Chemotherapy Induced"
Heplisav-B,"(hepatitis B vaccine, recombinant (adjuvanted))  Injection","November 10, 2017",Dynavax Technologies Corporation,Hepatitis B Prevention
Prevymis,(letermovir)  Tablets and Injection,"November 8, 2017","Merck & Co., Inc.",CMV Prophylaxis
Vyzulta,(latanoprostene bunod)  Ophthalmic Solution  - formerly Vesneo,"November 2, 2017","Valeant Pharmaceuticals International, Inc.","Glaucoma, Open Angle, Intraocular Hypertension"
Calquence,(acalabrutinib)  Capsules and Tablets,"October 31, 2017",AstraZeneca,Mantle Cell Lymphoma; Chronic Lymphocytic Leukemia
Shingrix,"(zoster vaccine recombinant, adjuvanted)  Injection","October 20, 2017",GlaxoSmithKline,"Herpes Zoster, Prophylaxis"
Yescarta,(axicabtagene ciloleucel)  Suspension for Intravenous Infusion  - formerly KTE-C19,"October 18, 2017","Kite Pharma, Inc.","B-Cell Lymphoma, Follicular Lymphoma"
Zilretta,(triamcinolone acetonide)  Extended-Release Injectable Suspension,"October 6, 2017","Flexion Therapeutics, Inc.",Osteoarthritis
Ascor,(ascorbic acid)  Injection,"October 2, 2017","McGuff Pharmaceuticals, Inc.",Scurvy
Fiasp,(insulin aspart)  Injection,"September 29, 2017",Novo Nordisk,"Diabetes, Type 1, Diabetes, Type 2"
Verzenio,(abemaciclib)  Tablets,"September 28, 2017",Eli Lilly and Company,Breast Cancer
Xhance,(fluticasone propionate)  Nasal Spray  - formerly OPN-375,"September 18, 2017",OptiNose US Inc.,"Nasal Polyps, Chronic Rhinosinusitis With Nasal Polyps, Rhinitis"
Trelegy Ellipta,"(fluticasone furoate, umeclidinium and vilanterol)  Inhalation Powder","September 18, 2017",GlaxoSmithKline,"COPD, Asthma, Maintenance"
Solosec,(secnidazole)  Oral Granules,"September 15, 2017","Lupin Pharmaceuticals, Inc.","Bacterial Vaginosis, Trichomoniasis"
Adzenys ER ,Adzenys ER (amphetamine)  Extended-Release Liquid Suspension  - formerly NT-0201,"September 15, 2017","Neos Therapeutics, Inc.",Attention-Deficit Hyperactivity Disorder (ADHD)
Mvasi,(bevacizumab-awwb)  Injection,"September 14, 2017",Amgen Inc.,"Non-Small Cell Lung Cancer, Colorectal Cancer, Glioblastoma Multiforme, Renal Cell Carcinoma, Cervical Cancer, Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer"
Aliqopa,(copanlisib)  Injection,"September 14, 2017","Bayer Healthcare Pharmaceuticals, Inc.",Follicular Lymphoma
Mylotarg,(gemtuzumab ozogamicin)  Injection,"September 1, 2017",Pfizer Inc.,Acute Myeloid Leukemia
Kymriah,(tisagenlecleucel)  Suspension for Intravenous Infusion  - formerly CTL019,"August 30, 2017",Novartis Pharmaceuticals Corporation,"Acute Lymphoblastic Leukemia, B-Cell Lymphoma, Follicular Lymphoma"
Vabomere,(meropenem and vaborbactam)  Injection  - formerly Carbavance,"August 29, 2017",The Medicines Company,Urinary Tract Infection
,(benznidazole)  Tablets,"August 29, 2017","Chemo Research, S. L.",Chagas Disease
Cyltezo,(adalimumab-adbm)  Injection,"August 25, 2017","Boehringer Ingelheim Pharmaceuticals, Inc.","Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis"
KedRAB,(rabies immunoglobulin human)  Injection,"August 23, 2017",Kamada Ltd. and Kedrion S.p.A.,Rabies Prophylaxis
Gocovri,(amantadine hydrochloride)  Extended-Release Capsules  - formerly ADS-5102,"August 24, 2017","Adamas Pharmaceuticals, Inc.",Parkinson's Disease
Duzallo,(allopurinol and lesinurad)  Tablets,"August 18, 2017","Ironwood Pharmaceuticals, Inc.",Gout
Besponsa,(inotuzumab ozogamicin)  for Injection,"August 17, 2017",Pfizer Inc.,Acute Lymphoblastic Leukemia
CaroSpir,(spironolactone)  Oral Suspension,"August 4, 2017","CMP Pharma, Inc.","Heart Failure, Edema, High Blood Pressure"
Mavyret,(glecaprevir and pibrentasvir)  Tablets and Oral Pellets,"August 3, 2017",AbbVie Inc.,Hepatitis C
Vyxeos,(cytarabine and daunorubicin)  Injection,"August 3, 2017",Jazz Pharmaceuticals plc,Acute Myeloid Leukemia
Idhifa,(enasidenib)  Tablets,"August 1, 2017",Celgene Corporation,Acute Myeloid Leukemia
Vosevi,"(sofosbuvir, velpatasvir and voxilaprevir)  Tablets","July 18, 2017","Gilead Sciences, Inc.",Hepatitis C
Nerlynx,(neratinib)  Tablets,"July 17, 2017","Puma Biotechnology, Inc.",Breast Cancer
Tremfya,(guselkumab)  Injection,"July 13, 2017","Janssen Biotech, Inc.","Plaque Psoriasis, Psoriatic Arthritis"
Endari ,Endari (L-glutamine)  Oral Powder,"July 7, 2017",Emmaus Life Sciences Inc.,Sickle Cell Anemia
Triptodur,(triptorelin)  Injection,"June 29, 2017","Arbor Pharmaceuticals, LLC",Precocious Puberty
Bevyxxa,(betrixaban)  Capsules,"June 23, 2017",Portola Pharmaceuticals Inc.,Prevention of Venous Thromboembolism
Haegarda,(C1 esterase inhibitor (human))  Subcutaneous Injection  - formerly CSL830,"June 22, 2017",CSL Behring,Hereditary Angioedema
Rituxan Hycela,(rituximab and hyaluronidase human)  Injection,"June 22, 2017","Genentech, Inc.",Follicular Lymphoma; Diffuse Large B-Cell Lymphoma; Chronic Lymphocytic Leukemia
Mydayis,(amphetamine mixed salts),"June 20, 2017",Shire plc,Attention Deficit Hyperactivity Disorder (ADHD)
Cotempla XR-ODT,(methylphenidate)  Extended-Release Orally Disintegrating Tablets,"June 19, 2017","Neos Therapeutics, Inc.",Attention-Deficit/Hyperactivity Disorder (ADHD)
Baxdela,(delafloxacin)  Tablets and Injection,"June 19, 2017",Melinta Therapeutics,"Skin and Structure Infection, Pneumonia"
Symjepi,(epinephrine)  Injection,"June 15, 2017",Adamis Pharmaceuticals Corporation,Allergic Reactions
Gleolan,(aminolevulinic acid hydrochloride)  Oral Solution,"June 6, 2017",NX Development Corp.,Optical Imaging During Glioma Surgery
Zerviate,(cetirizine hydrochloride)  Ophthalmic Solution,"May 30, 2017",Nicox S.A.,"Conjunctivitis, Allergic"
Rebinyn,"(coagulation factor IX (recombinant), glycopegylated)  Injection","May 31, 2017",Novo Nordisk,Hemophilia B
Kevzara,(sarilumab)  Injection,"May 22, 2017","Sanofi and Regeneron Pharmaceuticals, Inc.","Rheumatoid Arthritis, Polymyalgia Rheumatica"
Radicava,(edaravone)  Injection,"May 5, 2017",Mitsubishi Tanabe Pharma,Amyotrophic Lateral Sclerosis
Imfinzi,(durvalumab)  Injection,"May 1, 2017",AstraZeneca,"Non-Small Cell Lung Cancer, Small Cell Lung Cancer, Biliary Tract Tumor, Hepatocellular Carcinoma"
Alunbrig,(brigatinib)  Tablets,"April 28, 2017",Takeda Pharmaceutical Company Limited,Non-Small Cell Lung Cancer
Tymlos,(abaloparatide)  Injection,"April 28, 2017","Radius Health, Inc.",Osteoporosis
Rydapt,(midostaurin)  Capsules  - formerly PKC412,"April 28, 2017",Novartis,"Acute Myeloid Leukemia, Systemic Mastocytosis"
Brineura,(cerliponase alfa)  Injection,"April 27, 2017",BioMarin Pharmaceutical Inc.,CLN2 Disease
Xatmep,(methotrexate)  Oral Solution,"April 25, 2017","Silvergate Pharmaceuticals, Inc.","Acute Lymphoblastic Leukemia, Juvenile Idiopathic Arthritis"
RoxyBond,(oxycodone hydrochloride)  Tablets,"April 20, 2017",Protega Pharmaceuticals LLC,Pain
Renflexis,(infliximab-abda)  Injection,"April 21, 2017","Samsung Bioepis Co., Ltd.","Crohn's Disease, Maintenance, Ulcerative Colitis, Rheumatoid Arthritis, Ankylosing Spondylitis, Psoriatic Arthritis, Plaque Psoriasis"
Ingrezza,(valbenazine)  Capsules,"April 11, 2017","Neurocrine Biosciences, Inc.","Tardive Dyskinesia, Huntington's Disease"
Austedo,(deutetrabenazine)  Tablets  - formerly SD-809,"April 3, 2017",Teva Pharmaceutical Industries Ltd.,"Huntington's Disease, Tardive Dyskinesia"
Ocrevus,(ocrelizumab)  Injection,"March 28, 2017","Genentech, Inc.",Multiple Sclerosis
Dupixent,(dupilumab)  Injection,"March 28, 2017","Regeneron Pharmaceuticals, Inc.","Atopic Dermatitis, Asthma, Chronic Rhinosinusitis With Nasal Polyps, Eosinophilic Esophagitis, Prurigo Nodularis"
Zejula,(niraparib)  Capsules and Tablets,"March 27, 2017",GSK,"Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer"
Symproic,(naldemedine)  Tablets,"March 23, 2017",Shionogi Inc.,Opioid-Induced Constipation
Bavencio,(avelumab)  Injection,"March 23, 2017",EMD Serono Inc.,"Merkel Cell Carcinoma, Urothelial Carcinoma, Renal Cell Carcinoma"
Xadago,(safinamide)  Tablets,"March 21, 2017",Newron Pharmaceuticals S.p.A.,Parkinson's Disease
Kisqali,(ribociclib)  Tablets  - formerly LEE011,"March 13, 2017",Novartis Pharmaceuticals Corporation,Breast Cancer
Noctiva,(desmopressin acetate)  Nasal Spray,"March 3, 2017","Serenity Pharmaceuticals, LLC",Nocturia
Odactra,(house dust mite allergen extract)  Sublingual Tablets,"March 1, 2017",ALK-Abelló A/S,House Dust Mite Allergies
Xermelo,(telotristat ethyl)  Tablets,"February 28, 2017","Lexicon Pharmaceuticals, Inc.",Carcinoid Syndrome Diarrhea
Qtern,(dapagliflozin and saxagliptin)  Tablets,"February 27, 2017",AstraZeneca,"Diabetes, Type 2"
Siliq,(brodalumab)  Injection,"February 15, 2017","Valeant Pharmaceuticals International, Inc.",Plaque Psoriasis
Emflaza,(deflazacort)  Tablets and Oral Suspension,"February 9, 2017","PTC Therapeutics, Inc.",Duchenne Muscular Dystrophy
Parsabiv,(etelcalcetide)  Injection,"February 7, 2017",Amgen Inc.,Secondary Hyperparathyroidism
ArmonAir RespiClick,(fluticasone propionate)  Inhalation Powder,"January 27, 2017",Teva Pharmaceutical Industries Ltd.,"Asthma, Maintenance"
AirDuo RespiClick,(fluticasone propionate and salmeterol)  Inhalation Powder,"January 27, 2017",Teva Pharmaceutical Industries Ltd.,"Asthma, Maintenance"
Rhofade,(oxymetazoline hydrochloride)  Cream,"January 18, 2017",Allergan plc,Rosacea
Trulance,(plecanatide)  Tablets,"January 19, 2017",Synergy Pharmaceuticals Inc.,"Constipation, Chronic, Irritable Bowel Syndrome"
Vantrela ER ,Vantrela ER (hydrocodone bitartrate)  Extended-Release Tablets,"January 17, 2017",Teva Pharmaceutical Industries Ltd.,Pain
Arymo ER,(morphine sulfate)  Extended-Release Tablets,"January 9, 2017",Egalet Corporation,Pain
Bydureon BCise,(exenatide)  Extended-Release Injectable Suspension,"October 20, 2017",AstraZeneca,"Diabetes, Type 2"
Afluria Quadrivalent,"(influenza virus vaccine, inactivated)  Injection","August 26, 2016",Seqirus,Influenza Prophylaxis
Tirosint-SOL,(levothyroxine sodium)  Oral Solution,"December 15, 2016",Institut Biochimique SA,"Underactive Thyroid, TSH Suppression"
Spinraza,(nusinersen)  Injection,"December 23, 2016",Biogen,Spinal Muscular Atrophy
Rubraca,(rucaparib)  Tablets,"December 19, 2016","Clovis Oncology, Inc.","Ovarian Cancer, Prostate Cancer"
Eucrisa,(crisaborole)  Topical Ointment,"December 14, 2016","Pfizer, Inc.",Atopic Dermatitis
Soliqua 100/33,(insulin glargine and lixisenatide)  Injection,"November 21, 2016",Sanofi,"Diabetes, Type 2"
Xultophy,(insulin degludec and liraglutide)  Injection  - formerly IDegLira,"November 21, 2016",Novo Nordisk,"Diabetes, Type 2"
Intrarosa,(prasterone)  Vaginal Inserts,"November 17, 2016",Endoceutics Inc.,Dyspareunia
Vemlidy,(tenofovir alafenamide)  Tablets,"November 10, 2016","Gilead Sciences, Inc.",Hepatitis B
Zinplava,(bezlotoxumab)  Injection,"October 21, 2016","Merck & Co., Inc.",Prevention of <i>Clostridium Difficile</i> Infection Recurrence
Lartruvo,(olaratumab)  Injection,"October 19, 2016",Eli Lilly and Company,Soft Tissue Sarcoma
Carnexiv,(carbamazepine)  Injection,"October 7, 2016",Lundbeck Inc.,Seizures
Amjevita,(adalimumab-atto)  Injection,"September 23, 2016",Amgen Inc.,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis"
Lomaira,(phentermine hydrochloride)  Tablets,"September 13, 2016","KVK Tech, Inc.","Weight Loss (Obesity/Overweight), Weight Loss (Obesity/Overweight)"
Kyleena,(levonorgestrel)  Releasing Intrauterine System,"September 16, 2016",Bayer,Birth Control
Exondys 51,(eteplirsen)  Injection,"September 19, 2016",Sarepta Therapeutics,Duchenne Muscular Dystrophy
Yosprala,(aspirin and omeprazole)  Delayed-Release Tablets,"September 14, 2016",Aralez Pharmaceuticals Inc.,"Ischemic Stroke, Prophylaxis, Gastric Ulcer Prophylaxis"
Cuvitru,(immune globulin subcutaneous (human))  Injection,"September 13, 2016",Shire plc,Primary Immunodeficiency Syndrome
Erelzi,(etanercept-szzs)  Injection,"August 30, 2016",Sandoz Inc.,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Plaque Psoriasis"
Afluria Quadrivalent,"(influenza virus vaccine, inactivated)  Injection","August 26, 2016",Seqirus,Influenza Prophylaxis
Otovel,(ciprofloxacin and fluocinolone acetonide)  Otic Solution,"April 29, 2016","Laboratorios Salvat S.A. and Arbor Pharmaceuticals, LLC",Acute Otitis Media with Tympanostomy Tubes
Troxyca ER,(naltrexone and oxycodone)  Extended-Release Capsules,"August 19, 2016",Pfizer Inc.,Pain
Sustol,(granisetron)  Extended-Release Injection,"August 9, 2016","Heron Therapeutics, Inc.","Nausea/Vomiting, Chemotherapy Induced"
Flonase Sensimist,(fluticasone furoate)  Nasal Spray,"August 2, 2016",GSK Consumer Healthcare,Allergic Rhinitis
Qbrelis,(lisinopril)  Oral Solution,"July 29, 2016","Silvergate Pharmaceuticals, Inc.","High Blood Pressure, Heart Failure, Heart Attack"
Adlyxin,(lixisenatide)  Injection,"July 27, 2016",Sanofi,"Diabetes, Type 2"
Viekira XR,"(dasabuvir, ombitasvir, paritaprevir and ritonavir)  Extended-Release Tablets","July 22, 2016","Abbvie, Inc.",Hepatitis C
Xiidra,(lifitegrast)  Ophthalmic Solution,"July 11, 2016",Shire US Inc.,Dry Eye Disease
Kovanaze,(oxymetazoline hydrochloride and tetracaine hydrochloride)  Nasal Spray,"June 29, 2016","St. Renatus, LLC",Dental Anesthesia
Syndros,(dronabinol)  Oral Solution,"July 1, 2016","Insys Therapeutics, Inc.",Anorexia -- AIDS Patients; Nausea/Vomiting -- Chemotherapy Induced
Epclusa,(sofosbuvir and velpatasvir)  Tablets and Oral Pellets,"June 28, 2016","Gilead Sciences, Inc.",Hepatitis C
Rayaldee,(calcifediol)  Extended Release Capsules,"June 17, 2016","OPKO Health, Inc.",Secondary Hyperparathyroidism
GoNitro,(nitroglycerin)  Sublingual Powder,"June 8, 2016","Espero Pharmaceuticals, Inc.",Angina Pectoris Prophylaxis
Vaxchora,"(cholera vaccine, live, oral)  Suspension for Oral Administration","June 10, 2016","Emergent BioSolutions, Inc.",Cholera Prophylaxis
Byvalson,(nebivolol and valsartan)  Tablets,"June 3, 2016","Forest Laboratories, Inc.",High Blood Pressure
Netspot,(gallium Ga 68 dotatate)  Injection,"June 1, 2016","Advanced Accelerator Applications USA, Inc.",Diagnosis and Investigation
Zinbryta,(daclizumab)  Injection,"May 27, 2016","AbbVie, Inc. and Biogen",Multiple Sclerosis
Axumin,(fluciclovine F 18)  Injection,"May 27, 2016","Blue Earth Diagnostics, Ltd.",Diagnosis and Investigation
Ocaliva,(obeticholic acid)  Tablets,"May 27, 2016","Intercept Pharmaceuticals, Inc.",Primary Biliary Cholangitis
Probuphine,(buprenorphine)  Implant,"May 26, 2016","Titan Pharmaceuticals, Inc.",Opioid Use Disorder
Afstyla,"(antihemophilic factor (recombinant), single chain)  for Injection","May 25, 2016",CSL Behring,Hemophilia A
Flucelvax Quadrivalent,"(influenza virus vaccine, inactivated)","May 23, 2016",Seqirus,Influenza Prophylaxis
Tecentriq,(atezolizumab)  Injection,"May 18, 2016","Genentech, Inc.","Non-Small Cell Lung Cancer, Small Cell Lung Cancer, Hepatocellular Carcinoma, Melanoma, Alveolar Soft Part Sarcoma"
Ameluz,(aminolevulinic acid)  Gel  - formerly BF-200 ALA,"May 10, 2016",Biofrontera AG,Actinic Keratosis
Akovaz,(ephedrine sulfate)  Injection,"April 29, 2016",Flamel Technologies,Hypotension
Nuplazid,(pimavanserin)  Tablets and Capsules,"April 29, 2016",Acadia Pharmaceuticals Inc.,Parkinson’s Disease Psychosis
Xtampza ER,(oxycodone)  Extended-Release Capsules,"April 26, 2016","Collegium Pharmaceutical, Inc.",Chronic Pain
Cabometyx,(cabozantinib)  Tablets,"April 25, 2016","Exelixis, Inc.","Renal Cell Carcinoma, Hepatocellular Carcinoma, Thyroid Cancer"
Bevespi Aerosphere,(formoterol fumarate and glycopyrrolate)  Inhalation Aerosol,"April 25, 2016",AstraZeneca Pharmaceuticals LP,COPD
Venclexta,(venetoclax)  Tablets,"April 11, 2016",AbbVie Inc.,"Chronic Lymphocytic Leukemia, Acute Myeloid Leukemia"
BromSite,(bromfenac)  Ophthalmic Solution,"April 8, 2016",Sun Pharmaceutical Industries Ltd.,Postoperative Ocular Inflammation
